canonical_id,content_hash,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,label_status
90,9551de0c40ce3dbe24e048994e7e2172f263c2b1841304cb8e3c77a1836c88e3,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
91,744822ae78ade493618099af18c974db7880e0524a57dbe6afe2635662b358dc,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
92,e5c19ae5c3505aed079f0be2e42abe8edaac0ea88abf760ad56d58c15aca8dd8,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
93,967e757ec1798c593f7c3fe2b306f0b50bac0bc8078a42c5a2354aed4e5b5571,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
94,6f520dc288800debceb11f61f7ac52730e9ceec4ecd15807c3290c6793732993,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
95,80958765d4551d46b438cd8744b30e873f26c10891a10613ef07ca6ccbb04cf4,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
96,6473eae9ace99f6a80eeb70833fed779fba6ec53196c653895bd8581d03c50a8,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
97,9595adeb0d312867a894ed351bc3cc5056995bbee709418b036c08996eb23a92,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
98,672d13ce4ce23ed5dcda917e8155d8a28111a823eb3594149b848e911f5a82e9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
99,67f33b13987a4244bc9627dae1c91fe944f133c28f4fc4bfd0bde22eb9d9c010,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_adjudicated
