canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason
141,陕西华达科技股份有限公司,301517.SZ,陕西华达,陕西华达科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
142,神驰机电股份有限公司,603109.SH,神驰机电,神驰机电股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
143,浙江金沃精工股份有限公司,300984.SZ,金沃股份,浙江金沃精工股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
144,中国平安财产保险股份有限公司中山中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
145,湖南方盛制药股份有限公司,603998.SH,方盛制药,湖南方盛制药股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
146,科大国创软件股份有限公司,300520.SZ,科大国创,科大国创软件股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
147,中国平安财产保险股份有限公司湖南分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
149,北京恒通创新赛木科技股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
150,深圳市富恒新材料股份有限公司,920469.BJ,富恒新材,深圳市富恒新材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
151,上海克来机电自动化工程股份有限公司,603960.SH,克来机电,上海克来机电自动化工程股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
152,江苏恒辉安防股份有限公司,300952.SZ,恒辉安防,江苏恒辉安防集团股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
153,中国平安财产保险股份有限公司增城支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
154,锦州神工半导体股份有限公司,688233.SH,神工股份,锦州神工半导体股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
155,锦州神工半导体股份有限公司,688233.SH,神工股份,锦州神工半导体股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
156,北京首都在线科技股份有限公司,300846.SZ,首都在线,北京首都在线科技股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
157,博瑞生物医药(苏州)股份有限公司,688166.SH,博瑞医药,博瑞生物医药(苏州)股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
158,宏辉果蔬股份有限公司,603336.SH,宏辉果蔬,宏辉果蔬股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
159,绍兴兴欣新材料股份有限公司,001358.SZ,兴欣新材,绍兴兴欣新材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
160,江苏海鸥冷却塔股份有限公司,603269.SH,海鸥股份,江苏海鸥冷却塔股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
161,湖南百利工程科技股份有限公司,603959.SH,ST百利,湖南百利工程科技股份有限公司,科学研究和技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
162,湖南裕能新能源电池材料股份有限公司,301358.SZ,湖南裕能,湖南裕能新能源电池材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
163,中国平安财产保险股份有限公司无锡分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
164,广州市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,
165,浙江通力传动科技股份有限公司,301255.SZ,通力科技,浙江通力传动科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
166,中国平安财产保险股份有限公司无锡分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
